lat,lon,dist_to_canal_m
13.505051,100.578788,2637.5185622956187
13.505051,100.584848,2854.8355604069916
13.505051,100.590909,3202.227101723175
13.505051,100.59697,3642.650040376458
13.505051,100.60303,3852.211396590203
13.505051,100.609091,3725.8537132043753
13.505051,100.615152,3514.5590908644645
13.505051,100.621212,3114.4710417281644
13.505051,100.627273,2724.0580143826264
13.505051,100.633333,2413.7174284969365
13.505051,100.639394,2226.4342877434683
13.505051,100.645455,2072.179411165221
13.505051,100.651515,1932.1894880970808
13.505051,100.657576,1789.4716107722945
13.505051,100.663636,1638.287809708518
13.505051,100.669697,1111.6077799185232
13.505051,100.675758,495.4319200368629
13.505051,100.681818,406.98937529074703
13.505051,100.687879,998.1023035034909
13.505051,100.693939,901.2342486637691
13.505051,100.7,347.20171507635104
13.505051,100.706061,99.16722128484571
13.505051,100.712121,533.743953443981
13.505051,100.718182,419.3315696843047
13.505051,100.724242,327.3958172718082
13.505051,100.730303,175.31004771698565
13.505051,100.736364,201.75659034430618
13.505051,100.742424,210.83330694563574
13.505051,100.748485,94.68177436583161
13.505051,100.754545,173.77523730785566
13.505051,100.760606,322.581524232233
13.505051,100.766667,387.5108422042625
13.505051,100.772727,358.5028285770205
13.505051,100.778788,282.8131176127343
13.505051,100.784848,183.15471785342245
13.505051,100.790909,46.99282526764819
13.505051,100.79697,105.80033295223716
13.505051,100.80303,116.93927568209989
13.505051,100.809091,177.7792546180364
13.505051,100.815152,212.78716550906233
13.505051,100.821212,48.005950747972605
13.505051,100.827273,304.572526801405
13.505051,100.833333,205.4894608557296
13.505051,100.839394,272.26961220279935
13.505051,100.845455,661.2715877901057
13.505051,100.851515,475.6455784739969
13.505051,100.857576,185.29197146418792
13.505051,100.863636,479.02186395209725
13.505051,100.869697,384.72822453824523
13.505051,100.875758,405.9311337606714
13.505051,100.881818,552.4095929562424
13.505051,100.887879,498.03965925355374
13.505051,100.893939,315.06323230648303
13.505051,100.9,365.9454530331419
13.510101,100.3,183.93215898565447
13.510101,100.306061,76.0847964913326
13.510101,100.312121,178.57707220991648
13.510101,100.318182,169.69292072752035
13.510101,100.324242,167.53417128348917
13.510101,100.330303,348.6498321337466
13.510101,100.336364,376.733222180568
13.510101,100.342424,529.8261137371181
13.510101,100.348485,387.75802238567337
13.510101,100.354545,456.8217637691313
13.510101,100.360606,587.8088892707743
13.510101,100.366667,438.9190706010611
13.510101,100.372727,652.5060478427667
13.510101,100.378788,403.13707556236653
13.510101,100.384848,451.5559694738082
13.510101,100.390909,439.81901492060297
13.510101,100.39697,459.173603932387
13.510101,100.40303,273.9043821912346
13.510101,100.409091,152.33494971814056
13.510101,100.415152,584.7740426065076
13.510101,100.421212,96.56784598460703
13.510101,100.427273,70.0445794709847
13.510101,100.433333,154.19471787740775
13.510101,100.439394,167.39141316389689
13.510101,100.445455,281.7188436323836
13.510101,100.451515,65.6305882917437
13.510101,100.457576,385.7200605622289
13.510101,100.463636,59.804954072686456
13.510101,100.469697,80.53643259977244
13.510101,100.475758,184.2363679952825
13.510101,100.481818,288.8494327457152
13.510101,100.487879,585.874723032464
13.510101,100.493939,708.9499392452908
13.510101,100.5,95.03286168099825
13.510101,100.506061,563.3931915862472
13.510101,100.512121,502.2152234420511
13.510101,100.518182,130.2761461163301
13.510101,100.524242,804.5314385230673
13.510101,100.530303,1147.99301363258
13.510101,100.536364,1024.0650604899786
13.510101,100.542424,1026.4536582481142
13.510101,100.548485,1392.632393758593
13.510101,100.554545,1759.417829461218
13.510101,100.560606,1910.96028438397
13.510101,100.566667,2085.430168903647
13.510101,100.572727,2021.9455257073128
13.510101,100.578788,2090.848898732198
13.510101,100.584848,2359.0741887104787
13.510101,100.590909,2769.368765962038
13.510101,100.59697,3240.2869909192455
13.510101,100.60303,3314.7286665298757
13.510101,100.609091,3166.998481353333
13.510101,100.615152,3054.6611002113177
13.510101,100.621212,2660.2405308324487
13.510101,100.627273,2260.362785770589
13.510101,100.633333,1902.4160783377679
13.510101,100.639394,1681.6487556904408
13.510101,100.645455,1527.1792089789365
13.510101,100.651515,1385.6002545549595
13.510101,100.657576,1239.0042472575012
13.510101,100.663636,1091.4912599016857
13.510101,100.669697,948.37347586747
13.510101,100.675758,422.98200458243593
13.510101,100.681818,214.85702738686163
13.510101,100.687879,505.04028452645446
13.510101,100.693939,363.61180252540635
13.510101,100.7,201.80109803140436
13.510101,100.706061,57.9266859619053
13.510101,100.712121,82.16226348519277
13.510101,100.718182,144.36076661425707
13.510101,100.724242,258.6589669263925
13.510101,100.730303,69.78948404597764
13.510101,100.736364,439.4614283371969
13.510101,100.742424,323.14850257766483
13.510101,100.748485,368.5462349720189
13.510101,100.754545,239.78338671996127
13.510101,100.760606,277.2450030719977
13.510101,100.766667,649.3071873104774
13.510101,100.772727,331.56621205697144
13.510101,100.778788,330.1583046590292
13.510101,100.784848,121.41111194174545
13.510101,100.790909,242.2019079327637
13.510101,100.79697,290.28729912678733
13.510101,100.80303,80.08335809407197
13.510101,100.809091,236.27648784919344
13.510101,100.815152,196.6783443908519
13.510101,100.821212,43.45474835441033
13.510101,100.827273,362.42315271375566
13.510101,100.833333,55.76787141771463
13.510101,100.839394,294.95532438655675
13.510101,100.845455,314.2306360613437
13.510101,100.851515,357.2019483468598
13.510101,100.857576,98.76628093476397
13.510101,100.863636,282.9618099778317
13.510101,100.869697,257.2491941092518
13.510101,100.875758,78.7595608370963
13.510101,100.881818,85.14110200886877
13.510101,100.887879,74.63107748810813
13.510101,100.893939,272.4797768040995
13.510101,100.9,154.3995193235117
13.515152,100.3,510.94055410765475
13.515152,100.306061,245.7944238751497
13.515152,100.312121,310.85744345986757
13.515152,100.318182,481.3761450514563
13.515152,100.324242,209.36393987750418
13.515152,100.330303,428.08607610187215
13.515152,100.336364,189.49508267578844
13.515152,100.342424,406.0253714376237
13.515152,100.348485,52.271833648865346
13.515152,100.354545,291.4667257675522
13.515152,100.360606,470.94162980379946
13.515152,100.366667,226.28067002416157
13.515152,100.372727,533.2139660217756
13.515152,100.378788,159.38603577959887
13.515152,100.384848,213.23233808070685
13.515152,100.390909,205.31483814996392
13.515152,100.39697,119.52726317513734
13.515152,100.40303,124.7372028502468
13.515152,100.409091,448.3068846987114
13.515152,100.415152,577.8485951362409
13.515152,100.421212,77.87663086977008
13.515152,100.427273,34.233783337755256
13.515152,100.433333,469.7127717463582
13.515152,100.439394,402.74823352235927
13.515152,100.445455,365.7815312058966
13.515152,100.451515,257.6089187230947
