lat,lon,elevation_m
13.510101,100.651515,5.0
13.510101,100.657576,5.0
13.510101,100.663636,5.0
13.510101,100.669697,5.0
13.510101,100.675758,2.0
13.510101,100.681818,1.0
13.510101,100.687879,3.0
13.510101,100.693939,3.0
13.510101,100.7,4.0
13.510101,100.706061,3.0
13.510101,100.712121,2.0
13.510101,100.718182,4.0
13.510101,100.724242,2.0
13.510101,100.730303,2.0
13.510101,100.736364,5.0
13.510101,100.742424,3.0
13.510101,100.748485,3.0
13.510101,100.754545,2.0
13.510101,100.760606,4.0
13.510101,100.766667,2.0
13.510101,100.772727,5.0
13.510101,100.778788,2.0
13.510101,100.784848,1.0
13.510101,100.790909,3.0
13.510101,100.79697,2.0
13.510101,100.80303,5.0
13.510101,100.809091,3.0
13.510101,100.815152,6.0
13.510101,100.821212,5.0
13.510101,100.827273,5.0
13.510101,100.833333,1.0
13.510101,100.839394,3.0
13.510101,100.845455,5.0
13.510101,100.851515,3.0
13.510101,100.857576,3.0
13.510101,100.863636,4.0
13.510101,100.869697,2.0
13.510101,100.875758,1.0
13.510101,100.881818,3.0
13.510101,100.887879,1.0
13.510101,100.893939,1.0
13.510101,100.9,2.0
13.515152,100.3,5.0
13.515152,100.306061,4.0
13.515152,100.312121,3.0
13.515152,100.318182,1.0
13.515152,100.324242,3.0
13.515152,100.330303,2.0
13.515152,100.336364,-5.0
13.515152,100.342424,2.0
13.515152,100.348485,4.0
13.515152,100.354545,1.0
13.515152,100.360606,1.0
13.515152,100.366667,5.0
13.515152,100.372727,2.0
13.515152,100.378788,5.0
13.515152,100.384848,3.0
13.515152,100.390909,1.0
13.515152,100.39697,6.0
13.515152,100.40303,1.0
13.515152,100.409091,1.0
13.515152,100.415152,1.0
13.515152,100.421212,1.0
13.515152,100.427273,2.0
13.515152,100.433333,5.0
13.515152,100.439394,5.0
13.515152,100.445455,2.0
13.515152,100.451515,1.0
13.515152,100.457576,4.0
13.515152,100.463636,-1.0
13.515152,100.469697,-1.0
13.515152,100.475758,5.0
13.515152,100.481818,3.0
13.515152,100.487879,2.0
13.515152,100.493939,5.0
13.515152,100.5,3.0
13.515152,100.506061,4.0
13.515152,100.512121,5.0
13.515152,100.518182,2.0
13.515152,100.524242,5.0
13.515152,100.530303,5.0
13.515152,100.536364,5.0
13.515152,100.542424,2.0
13.515152,100.548485,2.0
13.515152,100.554545,1.0
13.515152,100.560606,5.0
13.515152,100.566667,2.0
13.515152,100.572727,4.0
13.515152,100.578788,5.0
13.515152,100.584848,5.0
13.515152,100.590909,5.0
13.515152,100.59697,5.0
13.515152,100.60303,5.0
13.515152,100.609091,5.0
13.515152,100.615152,5.0
13.515152,100.621212,5.0
13.515152,100.627273,5.0
13.515152,100.633333,5.0
13.515152,100.639394,5.0
13.515152,100.645455,5.0
13.515152,100.651515,5.0
13.515152,100.657576,3.0
13.515152,100.663636,6.0
13.515152,100.669697,6.0
13.515152,100.675758,5.0
13.515152,100.681818,4.0
13.515152,100.687879,3.0
13.515152,100.693939,5.0
13.515152,100.7,2.0
13.515152,100.706061,5.0
13.515152,100.712121,1.0
13.515152,100.718182,5.0
13.515152,100.724242,2.0
13.515152,100.730303,4.0
13.515152,100.736364,3.0
13.515152,100.742424,1.0
13.515152,100.748485,2.0
13.515152,100.754545,1.0
13.515152,100.760606,4.0
13.515152,100.766667,5.0
13.515152,100.772727,3.0
13.515152,100.778788,1.0
13.515152,100.784848,4.0
13.515152,100.790909,5.0
13.515152,100.79697,2.0
13.515152,100.80303,1.0
13.515152,100.809091,2.0
13.515152,100.815152,7.0
13.515152,100.821212,4.0
13.515152,100.827273,5.0
13.515152,100.833333,1.0
13.515152,100.839394,5.0
13.515152,100.845455,1.0
13.515152,100.851515,4.0
13.515152,100.857576,3.0
13.515152,100.863636,4.0
13.515152,100.869697,2.0
13.515152,100.875758,3.0
13.515152,100.881818,2.0
13.515152,100.887879,2.0
13.515152,100.893939,4.0
13.515152,100.9,4.0
13.520202,100.3,4.0
13.520202,100.306061,5.0
13.520202,100.312121,1.0
13.520202,100.318182,1.0
13.520202,100.324242,2.0
13.520202,100.330303,5.0
13.520202,100.336364,1.0
13.520202,100.342424,1.0
13.520202,100.348485,1.0
13.520202,100.354545,5.0
13.520202,100.360606,5.0
13.520202,100.366667,5.0
13.520202,100.372727,5.0
13.520202,100.378788,5.0
13.520202,100.384848,1.0
13.520202,100.390909,1.0
13.520202,100.39697,1.0
13.520202,100.40303,1.0
13.520202,100.409091,2.0
13.520202,100.415152,1.0
13.520202,100.421212,5.0
13.520202,100.427273,5.0
13.520202,100.433333,5.0
13.520202,100.439394,5.0
13.520202,100.445455,5.0
13.520202,100.451515,5.0
13.520202,100.457576,2.0
13.520202,100.463636,-1.0
13.520202,100.469697,2.0
13.520202,100.475758,5.0
13.520202,100.481818,2.0
13.520202,100.487879,1.0
13.520202,100.493939,5.0
13.520202,100.5,2.0
13.520202,100.506061,2.0
13.520202,100.512121,5.0
13.520202,100.518182,5.0
13.520202,100.524242,5.0
13.520202,100.530303,3.0
13.520202,100.536364,1.0
13.520202,100.542424,3.0
13.520202,100.548485,1.0
13.520202,100.554545,1.0
13.520202,100.560606,1.0
13.520202,100.566667,2.0
13.520202,100.572727,5.0
13.520202,100.578788,4.0
13.520202,100.584848,5.0
13.520202,100.590909,5.0
13.520202,100.59697,5.0
13.520202,100.60303,5.0
13.520202,100.609091,5.0
13.520202,100.615152,5.0
13.520202,100.621212,5.0
13.520202,100.627273,5.0
13.520202,100.633333,2.0
13.520202,100.639394,6.0
13.520202,100.645455,3.0
13.520202,100.651515,7.0
13.520202,100.657576,2.0
13.520202,100.663636,5.0
13.520202,100.669697,1.0
13.520202,100.675758,3.0
13.520202,100.681818,4.0
13.520202,100.687879,4.0
13.520202,100.693939,2.0
13.520202,100.7,1.0
13.520202,100.706061,5.0
13.520202,100.712121,2.0
13.520202,100.718182,2.0
13.520202,100.724242,-1.0
13.520202,100.730303,2.0
13.520202,100.736364,1.0
13.520202,100.742424,4.0
13.520202,100.748485,2.0
13.520202,100.754545,5.0
13.520202,100.760606,2.0
13.520202,100.766667,2.0
13.520202,100.772727,2.0
13.520202,100.778788,-3.0
13.520202,100.784848,1.0
13.520202,100.790909,2.0
13.520202,100.79697,-1.0
13.520202,100.80303,4.0
13.520202,100.809091,2.0
13.520202,100.815152,2.0
13.520202,100.821212,4.0
13.520202,100.827273,1.0
13.520202,100.833333,1.0
13.520202,100.839394,4.0
13.520202,100.845455,3.0
13.520202,100.851515,4.0
13.520202,100.857576,1.0
13.520202,100.863636,5.0
13.520202,100.869697,4.0
13.520202,100.875758,3.0
13.520202,100.881818,-1.0
13.520202,100.887879,2.0
13.520202,100.893939,1.0
13.520202,100.9,4.0
13.525253,100.3,3.0
13.525253,100.306061,3.0
13.525253,100.312121,3.0
13.525253,100.318182,3.0
13.525253,100.324242,5.0
13.525253,100.330303,5.0
13.525253,100.336364,5.0
13.525253,100.342424,5.0
13.525253,100.348485,5.0
13.525253,100.354545,5.0
13.525253,100.360606,5.0
13.525253,100.366667,5.0
13.525253,100.372727,5.0
13.525253,100.378788,1.0
13.525253,100.384848,1.0
13.525253,100.390909,1.0
13.525253,100.39697,1.0
13.525253,100.40303,1.0
13.525253,100.409091,1.0
13.525253,100.415152,1.0
13.525253,100.421212,5.0
13.525253,100.427273,5.0
13.525253,100.433333,5.0
13.525253,100.439394,2.0
13.525253,100.445455,5.0
13.525253,100.451515,7.0
13.525253,100.457576,5.0
13.525253,100.463636,5.0
13.525253,100.469697,4.0
13.525253,100.475758,5.0
13.525253,100.481818,3.0
13.525253,100.487879,2.0
13.525253,100.493939,5.0
13.525253,100.5,3.0
13.525253,100.506061,4.0
13.525253,100.512121,3.0
13.525253,100.518182,1.0
13.525253,100.524242,6.0
13.525253,100.530303,4.0
13.525253,100.536364,5.0
13.525253,100.542424,5.0
13.525253,100.548485,2.0
13.525253,100.554545,1.0
13.525253,100.560606,1.0
